wave,resp,rel,ly_resp
115,30.0146,0.981446603,30.582
120,35.9919,0.949143469,37.9204
125,41.7593,1.17874553,35.4269
130,47.143,2.254772074,20.9081
135,52.8706,4.12304261,12.8232
140,55.6095,5.267298129,10.5575
145,58.3314,6.443892093,9.0522
150,60.9631,7.797886901,7.8179
155,63.4065,9.16159748,6.9209
165,67.3609,11.56350746,5.8253
175,68.873,10.79192717,6.3819
185,71.4984,8.303147137,8.611
195,73.8155,5.623652473,13.1259
205,77.5046,2.656996915,29.17
225,77.1644,4.540284193,16.9955
245,75.2259,10.54366687,7.1347
265,71.6548,12.33619695,5.8085
285,69.1579,5.546164642,12.4695
305,62.6997,2.239251008,28.0003